"dimensions" "deviance" "logLik" "AIC" "weight.1" "weight.2" "weight.3" "weight.4" "weight.5" "weight.6" "weight.7" "weight.8" "weight.9" "weight.10" "dimselect" "var.exp.1" "var.exp.2" "var.exp.3" "var.exp.4" "var.exp.5" "var.exp.6" "var.exp.7" "var.exp.8" "var.exp.9" "var.exp.10"
"Treatment.optim.D1.r27.Rdata" 1 3890.75050894781 3202.60884178043 6463.21768356086 14.1037251868894 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47863613485821e-34 2.47863613485821e-34 2.47863613485821e-34 2.47863613485821e-34 2.47863613485821e-34 2.47863613485821e-34 2.47863613485821e-34 2.47863613485821e-34 2.47863613485821e-34
"Treatment.optim.D1.r28.Rdata" 1 3890.73420522173 3202.60068991739 6463.20137983479 14.1039699037495 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47855012236752e-34 2.47855012236752e-34 2.47855012236752e-34 2.47855012236752e-34 2.47855012236752e-34 2.47855012236752e-34 2.47855012236752e-34 2.47855012236752e-34 2.47855012236752e-34
"Treatment.optim.D1.r29.Rdata" 1 3890.75464399731 3202.61090930519 6463.22181861037 14.1029209372351 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.478918842122e-34 2.478918842122e-34 2.478918842122e-34 2.478918842122e-34 2.478918842122e-34 2.478918842122e-34 2.478918842122e-34 2.478918842122e-34 2.478918842122e-34
"Treatment.optim.D1.r3.Rdata" 1 3890.75480107433 3202.61098784369 6463.22197568739 14.1032258893813 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47881164062721e-34 2.47881164062721e-34 2.47881164062721e-34 2.47881164062721e-34 2.47881164062721e-34 2.47881164062721e-34 2.47881164062721e-34 2.47881164062721e-34 2.47881164062721e-34
"Treatment.optim.D1.r30.Rdata" 1 3890.75097946761 3202.60907704033 6463.21815408067 14.1035475054858 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47869858869423e-34 2.47869858869423e-34 2.47869858869423e-34 2.47869858869423e-34 2.47869858869423e-34 2.47869858869423e-34 2.47869858869423e-34 2.47869858869423e-34 2.47869858869423e-34
"Treatment.optim.D1.r31.Rdata" 1 3890.75128955393 3202.6092320835 6463.21846416699 14.1034374515606 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47873727310353e-34 2.47873727310353e-34 2.47873727310353e-34 2.47873727310353e-34 2.47873727310353e-34 2.47873727310353e-34 2.47873727310353e-34 2.47873727310353e-34 2.47873727310353e-34
"Treatment.optim.D1.r32.Rdata" 1 3890.73420413598 3202.60068937452 6463.20137874904 14.1039205986857 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47856745163204e-34 2.47856745163204e-34 2.47856745163204e-34 2.47856745163204e-34 2.47856745163204e-34 2.47856745163204e-34 2.47856745163204e-34 2.47856745163204e-34 2.47856745163204e-34
"Treatment.optim.D1.r33.Rdata" 1 3890.74834923654 3202.6077619248 6463.2155238496 14.1032499498228 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.4788031828247e-34 2.4788031828247e-34 2.4788031828247e-34 2.4788031828247e-34 2.4788031828247e-34 2.4788031828247e-34 2.4788031828247e-34 2.4788031828247e-34 2.4788031828247e-34
"Treatment.optim.D1.r34.Rdata" 1 3890.75424447066 3202.61070954186 6463.22141908371 14.1035069397393 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.4787128476163e-34 2.4787128476163e-34 2.4787128476163e-34 2.4787128476163e-34 2.4787128476163e-34 2.4787128476163e-34 2.4787128476163e-34 2.4787128476163e-34 2.4787128476163e-34
"Treatment.optim.D1.r35.Rdata" 1 3890.7496705178 3202.60842256543 6463.21684513086 14.1036341125078 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47866814660499e-34 2.47866814660499e-34 2.47866814660499e-34 2.47866814660499e-34 2.47866814660499e-34 2.47866814660499e-34 2.47866814660499e-34 2.47866814660499e-34 2.47866814660499e-34
"Treatment.optim.D1.r36.Rdata" 1 3890.74873799172 3202.60795630239 6463.21591260478 14.1043033533182 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47843292952518e-34 2.47843292952518e-34 2.47843292952518e-34 2.47843292952518e-34 2.47843292952518e-34 2.47843292952518e-34 2.47843292952518e-34 2.47843292952518e-34 2.47843292952518e-34
"Treatment.optim.D1.r37.Rdata" 1 3890.74620720313 3202.60669090809 6463.21338181618 14.1043638834846 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47841165672805e-34 2.47841165672805e-34 2.47841165672805e-34 2.47841165672805e-34 2.47841165672805e-34 2.47841165672805e-34 2.47841165672805e-34 2.47841165672805e-34 2.47841165672805e-34
"Treatment.optim.D1.r38.Rdata" 1 3890.7508283877 3202.60900150038 6463.21800300076 14.103908692216 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.47857163642953e-34 2.47857163642953e-34 2.47857163642953e-34 2.47857163642953e-34 2.47857163642953e-34 2.47857163642953e-34 2.47857163642953e-34 2.47857163642953e-34 2.47857163642953e-34
