"dimensions" "deviance" "logLik" "AIC" "weight.1" "weight.2" "weight.3" "weight.4" "weight.5" "weight.6" "weight.7" "weight.8" "weight.9" "weight.10" "dimselect" "var.exp.1" "var.exp.2" "var.exp.3" "var.exp.4" "var.exp.5" "var.exp.6" "var.exp.7" "var.exp.8" "var.exp.9" "var.exp.10"
"Control.optim.D1.r4.Rdata" 1 57660.6588850267 31077.5871348467 62213.1742696934 22.2772098940328 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93479379589317e-35 9.93479379589317e-35 9.93479379589317e-35 9.93479379589317e-35 9.93479379589317e-35 9.93479379589317e-35 9.93479379589317e-35 9.93479379589317e-35 9.93479379589317e-35
"Control.optim.D1.r40.Rdata" 1 57663.5455324375 31079.0304585521 62216.0609171042 22.2830477650741 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.92958890217815e-35 9.92958890217815e-35 9.92958890217815e-35 9.92958890217815e-35 9.92958890217815e-35 9.92958890217815e-35 9.92958890217815e-35 9.92958890217815e-35 9.92958890217815e-35
"Control.optim.D1.r41.Rdata" 1 57663.5495829395 31079.0324838031 62216.0649676062 22.2785206847188 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93362477284529e-35 9.93362477284529e-35 9.93362477284529e-35 9.93362477284529e-35 9.93362477284529e-35 9.93362477284529e-35 9.93362477284529e-35 9.93362477284529e-35 9.93362477284529e-35
"Control.optim.D1.r42.Rdata" 1 57663.4988952555 31079.0071399611 62216.0142799222 22.2921221224785 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.92150655821551e-35 9.92150655821551e-35 9.92150655821551e-35 9.92150655821551e-35 9.92150655821551e-35 9.92150655821551e-35 9.92150655821551e-35 9.92150655821551e-35 9.92150655821551e-35
"Control.optim.D1.r43.Rdata" 1 57660.6599154174 31077.587650042 62213.1753000841 22.2726109345044 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.9388969907853e-35 9.9388969907853e-35 9.9388969907853e-35 9.9388969907853e-35 9.9388969907853e-35 9.9388969907853e-35 9.9388969907853e-35 9.9388969907853e-35 9.9388969907853e-35
"Control.optim.D1.r44.Rdata" 1 57663.5439504039 31079.0296675353 62216.0593350706 22.272571175775 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93893247463363e-35 9.93893247463363e-35 9.93893247463363e-35 9.93893247463363e-35 9.93893247463363e-35 9.93893247463363e-35 9.93893247463363e-35 9.93893247463363e-35 9.93893247463363e-35
"Control.optim.D1.r45.Rdata" 1 57663.5157664527 31079.0155755597 62216.0311511194 22.2984274872979 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.91589630847705e-35 9.91589630847705e-35 9.91589630847705e-35 9.91589630847705e-35 9.91589630847705e-35 9.91589630847705e-35 9.91589630847705e-35 9.91589630847705e-35 9.91589630847705e-35
"Control.optim.D1.r46.Rdata" 1 57661.7418265087 31078.1286055877 62214.2572111754 22.3428078991945 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.87654275017638e-35 9.87654275017638e-35 9.87654275017638e-35 9.87654275017638e-35 9.87654275017638e-35 9.87654275017638e-35 9.87654275017638e-35 9.87654275017638e-35 9.87654275017638e-35
"Control.optim.D1.r47.Rdata" 1 57660.6586648544 31077.5870247605 62213.1740495211 22.2822735182963 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.93027896513547e-35 9.93027896513547e-35 9.93027896513547e-35 9.93027896513547e-35 9.93027896513547e-35 9.93027896513547e-35 9.93027896513547e-35 9.93027896513547e-35 9.93027896513547e-35
"Control.optim.D1.r48.Rdata" 1 57663.5558557673 31079.035620217 62216.071240434 22.1299122610683 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.00674867523317e-34 1.00674867523317e-34 1.00674867523317e-34 1.00674867523317e-34 1.00674867523317e-34 1.00674867523317e-34 1.00674867523317e-34 1.00674867523317e-34 1.00674867523317e-34
"Control.optim.D1.r49.Rdata" 1 57663.5482727518 31079.0318287092 62216.0636574185 22.27687142877 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.9350956882077e-35 9.9350956882077e-35 9.9350956882077e-35 9.9350956882077e-35 9.9350956882077e-35 9.9350956882077e-35 9.9350956882077e-35 9.9350956882077e-35 9.9350956882077e-35
"Control.optim.D1.r5.Rdata" 1 57660.688713673 31077.6020491698 62213.2040983397 22.3183922200544 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.89816387753191e-35 9.89816387753191e-35 9.89816387753191e-35 9.89816387753191e-35 9.89816387753191e-35 9.89816387753191e-35 9.89816387753191e-35 9.89816387753191e-35 9.89816387753191e-35
"Control.optim.D1.r50.Rdata" 1 57660.8238352687 31077.6696099677 62213.3392199354 22.3207309398292 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.89608976813978e-35 9.89608976813978e-35 9.89608976813978e-35 9.89608976813978e-35 9.89608976813978e-35 9.89608976813978e-35 9.89608976813978e-35 9.89608976813978e-35 9.89608976813978e-35
"Control.optim.D1.r6.Rdata" 1 57663.5242567199 31079.0198206933 62216.0396413866 22.2613940375678 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.94891538134597e-35 9.94891538134597e-35 9.94891538134597e-35 9.94891538134597e-35 9.94891538134597e-35 9.94891538134597e-35 9.94891538134597e-35 9.94891538134597e-35 9.94891538134597e-35
"Control.optim.D1.r7.Rdata" 1 57663.523815395 31079.0196000308 62216.0392000617 22.2868913203635 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.92616432111188e-35 9.92616432111188e-35 9.92616432111188e-35 9.92616432111188e-35 9.92616432111188e-35 9.92616432111188e-35 9.92616432111188e-35 9.92616432111188e-35 9.92616432111188e-35
"Control.optim.D1.r8.Rdata" 1 57663.5396159983 31079.0275003325 62216.055000665 22.2651828746125 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.94552968160803e-35 9.94552968160803e-35 9.94552968160803e-35 9.94552968160803e-35 9.94552968160803e-35 9.94552968160803e-35 9.94552968160803e-35 9.94552968160803e-35 9.94552968160803e-35
