Study,Authors,Journal,Title,Habitat,Country,Latitude,Longitude,SpeciesRichness,Species,Families,WoodyHerbaceous,PlantAge,Invasive,C3C4,Nfixing,ExperimentClass,TypeOfControl,Replicates,Duration,PlantPerformanceMetric,Units,MeanPlantPerformance,SEPlantPerformance,DataSource,NetworkMonoCtrl,NetworkTrueCtrl
Goldberg & Landa 1991,Goldberg D.E.; Landa K.,Journal of Ecology,Competitive effect and response hierarchies and correlated traits in the early stages of competition,Old field,USA,42.299,-83.662,7,"Lolium perenne, Trifolium pratense, Trifolium repens, Rumex crispus, Chenopodium album, Amaranthus retroflexus, Phleum pratense","Poaceae, Fabaceae, Fabaceae, Polygonaceae, Amaranthaceae,  Amaranthaceae, Poaceae",Herbaceous,Juvenile,0,6,"2, 3",Greenhouse,True ctrl,3.6,1.25,TotalBiomass,g,0.025,0.004,"Table 1; Figure 2, 3","0,0.5115,0.3416,0.628,0.3719,0.4306,0.24,-0.1829,0,-0.1345,0.1486,-0.1138,0.0258,0.0791,-0.1666,-0.1146,0,0.1533,0.0009,0.0374,0.1209,-0.6021,-0.2186,-0.2565,0,-0.2075,-0.4185,-0.2953,-0.6564,-0.2656,-0.1015,0.1507,0,-0.1768,-0.2269,-0.6378,0.0436,0.0505,0.0235,-0.0102,0,-0.1353,-0.4928,-0.0255,0.3073,0.0901,0.0787,-0.103,0","-0.6603,-0.2246,-0.4115,-0.0552,-0.3823,-0.3209,-0.4994,-0.4191,-0.2557,-0.3772,-0.1114,-0.3591,-0.2314,-0.1803,-0.4314,-0.3872,-0.2853,-0.138,-0.2845,-0.2505,-0.1702,-0.7288,-0.4234,-0.4559,-0.2257,-0.4139,-0.5886,-0.4885,-0.7846,-0.4951,-0.3562,-0.1183,-0.2642,-0.4213,-0.4634,-0.8543,-0.4412,-0.4356,-0.4572,-0.4835,-0.4756,-0.574,-0.8099,-0.5458,-0.263,-0.4594,-0.4684,-0.5982,-0.5276"
Domenech & Vila 2008,"Domenech, Roser; Vila, Montserrat",Biological Invasions,Response of the invader Cortaderia selloana and two coexisting natives to competition and water stress,Old field,ESP,41.5,2.1,3,"Cortaderia selloana, Festuca arundinacea, Brachypodium phoenicoides","Poaceae, Poaceae, Poaceae",Herbaceous,Juvenile,1,0,0,Garden,True ctrl,12,3,deltaAB,unitless,816.915,89.316,Figure 1,"0,-0.3472,-0.2201,-0.0373,0,-0.1971,-0.5532,-0.4175,0","-0.0102,-0.3562,-0.2298,-0.0221,0.0152,-0.1825,-0.3793,-0.2174,0.2201"
Hedberg et al. 2005,"Hedberg, A. M.; Borowicz, V. A.; Armstrong, J. E.",Journal of the Torrey Botanical Society,"Interactions between a hemiparasitic plant, Pedicularis canadensis L. (Orobanchaceae), and members of a tallgrass prairie community",Grassland,USA,40.64,-89.03,3,"Solidago canadensis, Desmodium canadense, Andropogon gerardii","Asteraceae, Fabaceae, Poaceae",Herbaceous,Juvenile,0,3,2,Greenhouse,True ctrl,15,11,AbovegroundBiomass,g,1.253,0.201,Figure 1,"0,0.2145,0.3127,0.0923,0,0.3168,-0.1928,-0.0918,0","-0.4634,-0.2764,-0.1763,-0.4967,-0.5632,-0.2999,-0.4929,-0.411,-0.3316"
Sangakkara & Roberts 1985,"Sangakkara, U.R.; Roberts, E.",Zeitschrift Fur Acker Und Pflanzenbau-Journal of Agronomy and Crop Science,Competition between grasses during establishment and early growth. 1. Competition between seedlings grown in mixtures from seed,Grassland,NZL,-40.39,175.62,3,"Lolium perenne, Bromus catharticus, Dactylis glomerata","Poaceae, Poaceae, Poaceae",Herbaceous,Juvenile,1,0,0,Garden,Mono ctrl,3,2,AbovegroundBiomass,g,0.932,0.137,Table 1,"0,-0.0413,-0.0061,-0.0177,0,-0.0037,-0.0574,-0.0757,0",NA
Armas & Pugnaire 2011,"Armas, Cristina; Ignacio Pugnaire, Francisco",Plos One,Plant Neighbour Identity Matters to Belowground Interactions under Controlled Conditions,Chaparral,ESP,36.85,-2.04,10,"Anthyllis cytisoides, Limonium insigne, Lygeum spartum, Olea europaea, Pinus halepensis, Quercus coccifera, Quercus suber, Retama sphaerocarpa, Stipa tenacissima, Genista spartioides","Fabaceae, Plumbaginaceae, Poaceae, Oleaceae, Pinaceae, Fagaceae, Fagaceae, Fabaceae, Poaceae, Fabaceae",Both,Juvenile,0,0,"1, 8, 10",Greenhouse,True ctrl,9,12,TotalBiomass,g,2.153,0.306,Figure 1,"0,NA,NA,NA,NA,NA,NA,0.4582,-0.0092,0.3821,NA,0,0.2439,NA,NA,NA,NA,NA,0.3951,NA,NA,0.0578,0,NA,NA,NA,NA,NA,-0.1523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0919,0,0.155,NA,NA,-0.026,NA,NA,NA,NA,0.1277,0.0246,0,0.0747,NA,NA,NA,NA,NA,NA,-0.0548,NA,-0.1415,0,NA,NA,NA,-0.0717,NA,NA,NA,NA,NA,NA,0,0.0345,-0.2727,0.1227,0.2063,0.0322,NA,0.0741,NA,NA,0.2891,0,0.1712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA","-0.3567,NA,NA,NA,NA,NA,NA,0.1212,-0.3647,0.0293,NA,0.0249,0.2672,NA,NA,NA,NA,NA,0.4159,NA,NA,-0.1501,-0.2061,NA,NA,NA,NA,NA,-0.3474,NA,NA,NA,NA,NA,0.0293,-0.1903,0.1453,NA,NA,NA,NA,NA,NA,-0.0355,-0.1271,0.0285,NA,NA,-0.1525,NA,NA,NA,NA,-0.089,-0.1906,-0.2143,-0.1418,NA,NA,NA,NA,NA,NA,-0.0894,NA,-0.1754,-0.0348,NA,NA,NA,-0.1491,NA,NA,NA,NA,NA,NA,-0.0782,-0.0438,-0.3436,0.0323,0.1177,-0.0588,NA,-0.0169,NA,NA,0.2036,-0.0908,0.0817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
Gao et al. 2014,"Gao, Shuqin; Pan, Xu; Cui, Qingguo; Hu, Yukun; Ye, Xuehua; Dong, Ming",Plos One,"Plant Interactions with Changes in Coverage of Biological Soil Crusts and Water Regime in Mu Us Sandland, China",Desert,CHN,39.03,109.35,4,"Artemisia ordosica, Artemisia sphaerocephala, Chloris virgata, Setaria viridis","Asteraceae, Asteraceae, Poaceae, Poaceae",Both,Juvenile,0,"3, 4",0,Greenhouse,True ctrl,63,3,RII,unitless,-0.231,0.043,Figure 3,NA,"-0.247,-0.499,-0.081,-0.113,-0.122,-0.124,-0.034,-0.152,-0.484,-0.333,-0.297,-0.564,-0.174,-0.159,0.014,-0.329"
Baude et al. 2011,"Baude, Mathilde; Leloup, Julie; Suchail, Severine; Allard, Beatrice; Benest, Danielle; Meriguet, Jacques; Nunan, Naoise; Dajoz, Isabelle; Raynaud, Xavier",Journal of Ecology,Litter inputs and plant interactions affect nectar sugar content,Grassland,FRA,48.29,2.68,3,"Mimulus guttatus, Lamium amplexicaule, Medicago sativa","Phrymaceae, Lamiaceae, Fabaceae",Herbaceous,Juvenile,0,0,3,Garden,Mono ctrl,18.4,2.5,AbovegroundBiomass,g,0.541,0.103,Figure S2,"0,0.1526,0.1944,-0.2109,0,0.1304,-0.1549,-0.1412,0",NA
Gurevitch et al. 1990,"Gurevitch, J.; Wilson, P.; Stone, J.L.; Teese, P.; Stoutenburgh, R.J.",Journal of Ecology,Competition among old-field perennials at different levels of soil fertility and available space,Old field,USA,40.911,-73.12,3,"Achillea millefolium, Dactylis glomerata, Vicia cracca","Asteraceae, Poaceae, Fabaceae",Herbaceous,Juvenile,0,0,3,Greenhouse,True ctrl,5,3.5,TotalBiomass,g,0.96,0.178,Figure 1,"0,-0.1484,-0.2318,-0.0639,0,-0.0472,0.2255,-0.0171,0","-0.0557,-0.2024,-0.2839,-0.152,-0.0889,-0.1356,-0.1612,-0.3878,-0.3732"
Pfeifer-Meister et al. 2008,"Pfeifer-Meister, Laurel; Cole, Esther M.; Roy, Bitty A.; Bridgham, Scott D.",Oecologia,Abiotic constraints on the competitive ability of exotic and native grasses in a Pacific Northwest prairie,Grassland,USA,44.01,-122.96,4,"Danthonia californica, Deschampsia cespitosa, Festuca arundinacea, Lolium multiflorum","Poaceae, Poaceae, Poaceae, Poaceae",Herbaceous,Juvenile,3,0,0,Greenhouse,Mono ctrl,12,3,TotalBiomass,g,2.923,0.848,Figure 3,"0,-0.2381,0.025,-0.2,-0.0107,0,-0.0752,-0.4329,0.1339,0.0675,0,-0.434,0.1547,0.1773,0.3051,0",NA
Pausch et al. 2013,"Pausch, Johanna; Zhu, Biao; Kuzyakov, Yakov; Cheng, Weixin",Soil Biology & Biochemistry,Plant inter-species effects on rhizosphere priming of soil organic matter decomposition,Agricultural,USA,36.999,-122.062,3,"Helianthus annuus, Glycine max, Triticum aestivum","Asteraceae, Fabaceae, Poaceae",Herbaceous,Juvenile,0,0,2,Greenhouse,Mono ctrl,5,2,"AbovegroundBiomass, BelowgroundBiomass",g,22.956,3.46,Table 2,"0,0.1429,0.0613,-0.2881,0,-0.2298,0.124,0.1804,0",NA
