"dimensions" "deviance" "logLik" "AIC" "weight.1" "weight.2" "weight.3" "weight.4" "weight.5" "weight.6" "weight.7" "weight.8" "dimselect" "var.exp.1" "var.exp.2" "var.exp.3" "var.exp.4" "var.exp.5" "var.exp.6" "var.exp.7" "var.exp.8"
"Open.optim.D1.r28.Rdata" 1 34578.3207647588 17831.2683252963 35710.5366505926 102.016386588585 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.7374056902105e-36 4.7374056902105e-36 4.7374056902105e-36 4.7374056902105e-36 4.7374056902105e-36 4.7374056902105e-36 4.7374056902105e-36
"Open.optim.D1.r29.Rdata" 1 34578.3205064593 17831.2681961466 35710.5363922932 101.685922228119 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.76824747442817e-36 4.76824747442817e-36 4.76824747442817e-36 4.76824747442817e-36 4.76824747442817e-36 4.76824747442817e-36 4.76824747442817e-36
"Open.optim.D1.r3.Rdata" 1 34578.3207200963 17831.2683029651 35710.5366059301 101.960405474159 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.74260924062686e-36 4.74260924062686e-36 4.74260924062686e-36 4.74260924062686e-36 4.74260924062686e-36 4.74260924062686e-36 4.74260924062686e-36
"Open.optim.D1.r30.Rdata" 1 34578.3208785662 17831.2683822 35710.5367644 102.042894597864 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.73494470782788e-36 4.73494470782788e-36 4.73494470782788e-36 4.73494470782788e-36 4.73494470782788e-36 4.73494470782788e-36 4.73494470782788e-36
"Open.optim.D1.r31.Rdata" 1 34578.3206337792 17831.2682598065 35710.5365196131 102.008112946783 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.7381742013839e-36 4.7381742013839e-36 4.7381742013839e-36 4.7381742013839e-36 4.7381742013839e-36 4.7381742013839e-36 4.7381742013839e-36
"Open.optim.D1.r32.Rdata" 1 34578.3207345114 17831.2683101726 35710.5366203452 102.009783419538 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.73801902163849e-36 4.73801902163849e-36 4.73801902163849e-36 4.73801902163849e-36 4.73801902163849e-36 4.73801902163849e-36 4.73801902163849e-36
"Open.optim.D1.r33.Rdata" 1 34578.3209622313 17831.2684240326 35710.5368480652 102.052367709635 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.73406569679438e-36 4.73406569679438e-36 4.73406569679438e-36 4.73406569679438e-36 4.73406569679438e-36 4.73406569679438e-36 4.73406569679438e-36
"Open.optim.D1.r34.Rdata" 1 34578.3203325093 17831.2681091716 35710.5362183431 101.894094308979 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.74878408871633e-36 4.74878408871633e-36 4.74878408871633e-36 4.74878408871633e-36 4.74878408871633e-36 4.74878408871633e-36 4.74878408871633e-36
"Open.optim.D1.r35.Rdata" 1 34578.3206481115 17831.2682669727 35710.5365339453 101.971462784041 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.74158076353358e-36 4.74158076353358e-36 4.74158076353358e-36 4.74158076353358e-36 4.74158076353358e-36 4.74158076353358e-36 4.74158076353358e-36
"Open.optim.D1.r36.Rdata" 1 34578.3209098572 17831.2683978455 35710.5367956911 102.041002798779 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 4.73512027739026e-36 4.73512027739026e-36 4.73512027739026e-36 4.73512027739026e-36 4.73512027739026e-36 4.73512027739026e-36 4.73512027739026e-36
