"dimensions" "deviance" "logLik" "AIC" "weight.1" "weight.2" "weight.3" "weight.4" "weight.5" "weight.6" "weight.7" "weight.8" "dimselect" "var.exp.1" "var.exp.2" "var.exp.3" "var.exp.4" "var.exp.5" "var.exp.6" "var.exp.7" "var.exp.8"
"Shade.optim.D1.r29.Rdata" 1 30260.4556584657 15655.7737727102 31359.5475454203 5.40712742599869 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.68634815621467e-33 1.68634815621467e-33 1.68634815621467e-33 1.68634815621467e-33 1.68634815621467e-33 1.68634815621467e-33 1.68634815621467e-33
"Shade.optim.D1.r3.Rdata" 1 30598.2422970833 15824.667092019 31697.334184038 699.669426628013 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.00715115918289e-37 1.00715115918289e-37 1.00715115918289e-37 1.00715115918289e-37 1.00715115918289e-37 1.00715115918289e-37 1.00715115918289e-37
"Shade.optim.D1.r30.Rdata" 1 30612.8483315097 15831.9701092322 31711.9402184644 191.099598861252 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.35008434094238e-36 1.35008434094238e-36 1.35008434094238e-36 1.35008434094238e-36 1.35008434094238e-36 1.35008434094238e-36 1.35008434094238e-36
"Shade.optim.D1.r31.Rdata" 1 30599.0459175253 15825.06890224 31698.1378044799 595.226756618878 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.3916036532877e-37 1.3916036532877e-37 1.3916036532877e-37 1.3916036532877e-37 1.3916036532877e-37 1.3916036532877e-37 1.3916036532877e-37
"Shade.optim.D1.r32.Rdata" 1 30614.376305086 15832.7340960203 31713.4681920406 186.163728493439 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.42262459949512e-36 1.42262459949512e-36 1.42262459949512e-36 1.42262459949512e-36 1.42262459949512e-36 1.42262459949512e-36 1.42262459949512e-36
"Shade.optim.D1.r33.Rdata" 1 30597.8637146381 15824.4778007964 31696.9556015928 741.229606190103 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 8.97377003141269e-38 8.97377003141269e-38 8.97377003141269e-38 8.97377003141269e-38 8.97377003141269e-38 8.97377003141269e-38 8.97377003141269e-38
"Shade.optim.D1.r34.Rdata" 1 30606.8324205602 15828.9621537574 31705.9243075149 289.14314393117 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 5.89731944389527e-37 5.89731944389527e-37 5.89731944389527e-37 5.89731944389527e-37 5.89731944389527e-37 5.89731944389527e-37 5.89731944389527e-37
"Shade.optim.D1.r35.Rdata" 1 30598.0515431566 15824.5717150556 31697.1434301113 730.77511072459 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 9.23236479191377e-38 9.23236479191377e-38 9.23236479191377e-38 9.23236479191377e-38 9.23236479191377e-38 9.23236479191377e-38 9.23236479191377e-38
"Shade.optim.D1.r36.Rdata" 1 30597.6800691424 15824.3859780485 31696.771956097 818.102127456799 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 7.36657147286681e-38 7.36657147286681e-38 7.36657147286681e-38 7.36657147286681e-38 7.36657147286681e-38 7.36657147286681e-38 7.36657147286681e-38
"Shade.optim.D1.r37.Rdata" 1 30597.9024263324 15824.4971566435 31696.994313287 815.464253461725 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 7.41430751235206e-38 7.41430751235206e-38 7.41430751235206e-38 7.41430751235206e-38 7.41430751235206e-38 7.41430751235206e-38 7.41430751235206e-38
"Shade.optim.D1.r38.Rdata" 1 30597.7276118629 15824.4097494088 31696.8194988175 810.723007118928 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 7.50128135818239e-38 7.50128135818239e-38 7.50128135818239e-38 7.50128135818239e-38 7.50128135818239e-38 7.50128135818239e-38 7.50128135818239e-38
"Shade.optim.D1.r39.Rdata" 1 30629.2780547426 15840.1849708486 31728.3699416972 156.851171627204 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 2.00403322188687e-36 2.00403322188687e-36 2.00403322188687e-36 2.00403322188687e-36 2.00403322188687e-36 2.00403322188687e-36 2.00403322188687e-36
"Shade.optim.D1.r4.Rdata" 1 30612.0303015048 15831.5610942297 31711.1221884594 214.177251615566 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.07481512282229e-36 1.07481512282229e-36 1.07481512282229e-36 1.07481512282229e-36 1.07481512282229e-36 1.07481512282229e-36 1.07481512282229e-36
"Shade.optim.D1.r40.Rdata" 1 30597.1537391736 15824.1228130641 31696.2456261282 951.817869737954 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 5.44217800421175e-38 5.44217800421175e-38 5.44217800421175e-38 5.44217800421175e-38 5.44217800421175e-38 5.44217800421175e-38 5.44217800421175e-38
"Shade.optim.D1.r41.Rdata" 1 30599.6237693364 15825.3578281455 31698.7156562911 523.545380456626 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 1.79875405966939e-37 1.79875405966939e-37 1.79875405966939e-37 1.79875405966939e-37 1.79875405966939e-37 1.79875405966939e-37 1.79875405966939e-37
"Shade.optim.D1.r42.Rdata" 1 30596.9693239947 15824.0306054747 31696.0612109493 933.191939028764 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 2.22044604925031e-16 1 1 5.66159101797973e-38 5.66159101797973e-38 5.66159101797973e-38 5.66159101797973e-38 5.66159101797973e-38 5.66159101797973e-38 5.66159101797973e-38
