row col alpha observed common alphas.se$se
183 T.cyanopetala Vulpia.sp 2.9588152409009 FALSE TRUE 0.366914396060592
184 V.rosea Vulpia.sp 0.0543593659579065 FALSE TRUE 0.0289247324937649
185 A.calendula W.acuminata -0.00101189114334945 FALSE TRUE 0.000303241815749126
186 H.glabra W.acuminata -0.000932156626230478 TRUE TRUE 0.000465787195372537
187 H.glutinosum W.acuminata 0.504579277472533 FALSE TRUE 0.0698000398787489
188 M.minima W.acuminata 0.0651718507667698 FALSE TRUE 0.0161230893375761
189 P.airoides W.acuminata 0.0607998590593802 TRUE TRUE 0.00716875380901315
190 P.canescens W.acuminata -0.0531952038381855 TRUE TRUE 0.00700739412705784
191 T.cyanopetala W.acuminata 0.133810656388156 TRUE TRUE 0.0256043515193934
192 V.rosea W.acuminata -0.000483395054441158 TRUE TRUE 0.00178974134442116
