row col alpha observed common alphas.se$se
103 T.cyanopetala H.glabra 5.11406053385645 FALSE FALSE 0.267089494102148
104 V.rosea H.glabra -0.16274723888309 FALSE FALSE 0.0335967558356713
105 A.calendula H.glutinosum 0.00257330084515314 TRUE TRUE 0.000411935822807095
106 H.glabra H.glutinosum 0.0211558662515369 TRUE TRUE 0.00305446376916003
107 H.glutinosum H.glutinosum 0.0651807850642719 TRUE TRUE 0.00269844933555525
108 M.minima H.glutinosum -0.00306954070642012 TRUE TRUE 0.000586237014600291
109 P.airoides H.glutinosum 0.130156408443991 TRUE TRUE 0.00628028172302768
110 P.canescens H.glutinosum 0.911611475017625 TRUE TRUE 0.0251272849494562
111 T.cyanopetala H.glutinosum 0.172277766846844 TRUE TRUE 0.00739549058905424
112 V.rosea H.glutinosum -0.00948277946676295 TRUE TRUE 0.00080340805215506
113 A.calendula M.minima -0.00303920149539736 TRUE TRUE 0.00189800472702764
114 H.glabra M.minima -0.00944801716722321 FALSE TRUE 0.00142209184938362
115 H.glutinosum M.minima -0.0305150876056602 FALSE TRUE 0.0287073633008519
116 M.minima M.minima 0.00267465418281472 TRUE TRUE 0.000988596066502523
117 P.airoides M.minima -0.00916335938852548 FALSE TRUE 0.0711903978674414
118 P.canescens M.minima -0.495465735034352 TRUE TRUE 0.00894764695920049
119 T.cyanopetala M.minima -0.0467268889570594 TRUE TRUE 0.020139848434437
120 V.rosea M.minima -0.0104752982399852 TRUE TRUE 0.00784202175350472
121 A.calendula M.polymorpha -0.0268915226673182 TRUE FALSE 0.00343261511536838
122 H.glabra M.polymorpha -0.159174402387305 FALSE FALSE 0.0110968097233709
123 H.glutinosum M.polymorpha -0.774775790521828 FALSE FALSE 0.0666105952366306
124 M.minima M.polymorpha 0.0265654514019613 FALSE FALSE 0.00468607258465661
125 P.airoides M.polymorpha -1.45205940467159 FALSE FALSE 0.10360832162281
126 P.canescens M.polymorpha -10.6640446949367 FALSE FALSE 0.538395565254624
127 T.cyanopetala M.polymorpha -2.14992924399006 FALSE FALSE 0.114641485259037
128 V.rosea M.polymorpha 0.149420476414834 TRUE FALSE 0.00891340583302285
129 A.calendula N.rotundifolia -0.0179435546886184 FALSE FALSE 0.00781235003005014
130 H.glabra N.rotundifolia 0.0379337279551793 TRUE FALSE 0.00741717369698077
131 H.glutinosum N.rotundifolia 0.302743712511463 FALSE FALSE 0.222372234027366
