order,date,code,plot,treatment,indiv,target,background,neighbours_number,fruits,unviable_seeds,seeds,,,,,,,,
210,2/5/15,113.4,113,C,4,SIAL,BRMA,6,39,999,299.7,,,,,,,,
211,2/5/15,114.1,114,C,1,CAAR,CAAR,4,8,77,37.73,,,,,,,,
212,2/5/15,114.2,114,C,2,CAAR,CAAR,3,6,58,28.42,,,,,,,,
213,2/5/15,114.3,114,C,3,SIAL,CAAR,4,166,4251,1275.3,,,,,,,,
214,2/5/15,114.4,114,C,4,SIAL,CAAR,3,40,1024,307.2,,,,,,,,
215,2/5/15,115.1,115,C,1,DIER,BRMA,4,50,377,248.82,,,,,,,,
216,2/5/15,115.2,115,C,2,CAAR,NA,0,16,154,75.46,,,,,,,,
217,2/5/15,115.3,115,C,3,CAAR,BRMA,3,34,327,160.23,,,,,,,,
218,2/5/15,116.1,116,C,1,DIER,DIER,6,32,241,159.06,,,,,,,,
219,2/5/15,116.1,116,C,10,DIER,DIER,5,39,294,194.04,,,,,,,,
220,2/5/15,116.2,116,C,2,DIER,DIER,6,19,143,94.38,,,,,,,,
221,2/5/15,116.3,116,C,3,DIER,DIER,6,16,121,79.86,,,,,,,,
222,2/5/15,116.4,116,C,4,CAAR,DIER,2,44,423,207.27,,,,,,,,
223,2/5/15,116.5,116,C,5,DIER,DIER,4,130,981,647.46,,,,,,,,
224,2/5/15,116.6,116,C,6,DIER,DIER,2,115,868,572.88,,,,,,,,
225,2/5/15,116.7,116,C,7,SIAL,DIER,2,154,3944,1183.2,,,,,,,,
226,2/5/15,116.8,116,C,8,SIAL,DIER,1,194,4968,1490.4,,,,,,,,
227,2/5/15,116.9,116,C,9,CAAR,DIER,1,28,269,131.81,,,,,,,,
228,2/5/15,118.1,118,C,1,DIER,MEPO,1,159,1199,791.34,,,,,,,,
229,2/5/15,118.2,118,C,2,SIAL,MEPO,3,58,1485,445.5,,,,,,,,
230,2/5/15,118.3,118,C,3,SIAL,MEPO,1,117,2996,898.8,,,,,,,,
231,2/5/15,119.1,119,C,1,CAAR,BRMA,1,23,221,108.29,,,,,,,,
232,2/5/15,120.1,120,C,1,SIAL,PARO,6,25,640,192,,,,,,,,
233,2/5/15,120.2,120,C,2,CAAR,PARO,3,28,269,131.81,,,,,,,,
234,2/5/15,120.3,120,C,3,CAAR,PARO,8,2,19,9.31,,,,,,,,
235,2/5/15,120.4,120,C,4,DIER,PARO,7,3,23,15.18,,,,,,,,
236,2/5/15,121.1,121,C,1,DIER,NA,0,198,1494,986.04,,,,,,,,
237,2/5/15,121.2,121,C,2,CAAR,BRMA,1,52,499,244.51,,,,,,,,
238,2/5/15,121.3,121,C,3,DIER,BRMA,2,11,83,54.78,,,,,,,,
239,2/5/15,121.4,121,C,4,SIAL,MEPO,1,122,3124,937.2,,,,,,,,
240,2/5/15,121.5,121,C,5,SIAL,BRMA,2,56,1434,430.2,,,,,,,,
241,2/5/15,122.1,122,C,1,SIAL,DIER,1,407,10423,3126.9,,,,,,,,
242,2/5/15,122.2,122,C,2,SIAL,DIER,1,144,3688,1106.4,,,,,,120.5,BOOF,46.70999
